event_time,price,z_score,volume_ratio
2026-01-09 09:25:24.989000+00:00,0.01731,2.567936842148391,3.4551197517764844
2026-01-09 09:25:30.990000+00:00,0.01733,2.7519588035709734,3.8664260336709995
2026-01-09 09:25:54.989000+00:00,0.01742,3.2536829369088993,3.3690618410482305
2026-01-09 09:25:55.989000+00:00,0.01742,3.161876187540187,3.322905174733661
2026-01-09 09:25:56.989000+00:00,0.01742,3.0767194078009963,9.192719878629946
2026-01-09 09:25:59.989000+00:00,0.01742,2.8539431450832238,5.047005782479685
2026-01-09 09:34:54.989000+00:00,0.01788,2.8814355302333237,23.187467632515517
2026-01-09 09:39:28.989000+00:00,0.01768,-2.641675344883267,3.2993409570167294
2026-01-09 09:47:50.989000+00:00,0.01745,-2.5507339367333213,3.8148276327772144
2026-01-09 09:47:51.989000+00:00,0.01745,-2.5099311982872305,7.983438712635244
